Title,AuthorLabel,NarratorLabel,RuntimeLabel,ReleaseDateLabel,LanguageLabel,score,Raiting,price
Empath & Psychic Abilities: 3 Books in 1, Crystal Mendoza, Manifestation & Meditation Studio, 20 hrs and 9 mins, 02-08-24, English,5 out of 5 stars,22 ratings,$29.95
A Court of Thorns and Roses, Sarah J. Maas, Jennifer Ikeda, 16 hrs and 7 mins, 05-05-15, English,4.5 out of 5 stars,"43,563 ratings",$25.79
The Dragon's Blade Trilogy, Michael R. Miller, Dave Cruse, 45 hrs and 58 mins, 08-07-19, English,4.5 out of 5 stars,"3,393 ratings",$25.99
Never Finished, David Goggins," David Goggins, Adam Skolnick, Jacqueline Gardner", 11 hrs and 6 mins, 12-06-22, English,5 out of 5 stars,"27,112 ratings",$21.99
The Kamogawa Food Detectives," Hisashi Kashiwai, Jesse Kirkwood - translator", Hanako Footman, 4 hrs and 53 mins, 02-13-24, English,,Not rated yet,$21.00
The Last Olympian, Rick Riordan, Jesse Bernstein, 11 hrs, 05-05-09, English,5 out of 5 stars,"14,880 ratings",$18.82
The Friendship Club, Robyn Carr, Thérèse Plummer, 9 hrs and 49 mins, 01-23-24, English,4.5 out of 5 stars,83 ratings,$25.19
The Hero of Ages, Brandon Sanderson, Michael Kramer, 27 hrs and 25 mins, 12-30-07, English,5 out of 5 stars,"66,416 ratings",$33.74
"Harry Potter and the Half-Blood Prince, Book 6", J.K. Rowling, Jim Dale, 18 hrs and 32 mins, 11-20-15, English,5 out of 5 stars,"102,567 ratings",$44.99
The Seamstress of Acadie, Laura Frantz, Pilar Witherspoon, 12 hrs and 48 mins, 02-13-24, English,,Not rated yet,$27.99
Nanny for the Athletes, Cassie Cole," Ramona Radcliff, Julio Maxwell", 9 hrs and 50 mins, 02-09-24, English,3 out of 5 stars,2 ratings,$19.95
Home Is Where the Bodies Are, Jeneva Rose," January LaVoy, Brittany Pressley, Cassandra Campbell, Andrew Eiden", 8 hrs and 30 mins, 04-30-24, English,,Not rated yet,$25.87
48 Laws of Power, Robert Greene, Richard Poe, 23 hrs and 6 mins, 05-01-15, English,4.5 out of 5 stars,"23,463 ratings",$15.70
I Found You, Lisa Jewell, Helen Duff, 10 hrs and 1 min, 04-25-17, English,4.5 out of 5 stars,"21,574 ratings",$14.03
Accidental Necromancer Boxed Set, JG Jerome," Zachary Zaba, Kassandra Cherry", 58 hrs and 8 mins, 01-23-24, English,4.5 out of 5 stars,8 ratings,$54.99
The Battle of the Labyrinth, Rick Riordan, Jesse Bernstein, 10 hrs and 31 mins, 08-29-08, English,5 out of 5 stars,"14,802 ratings",$16.65
Falling Off Her Dragon, Julia Mills," Richard Pendragon, Raven Wildewood", 2 hrs and 14 mins, 02-05-24, English,5 out of 5 stars,2 ratings,$6.95
He's Not My Type, Meghan Quinn," Connor Crais, Erin Mallon, Teddy Hamilton, Jason Clarke, J.F. Harding, Kelsey Navarro-Foster", 11 hrs and 40 mins, 11-28-23, English,5 out of 5 stars,"1,262 ratings",$24.95
Through the Glen, Samantha Young," Shane East, Zara Hampton-Brown", 9 hrs and 14 mins, 01-25-24, English,4.5 out of 5 stars,44 ratings,$19.95
Killing Floor, Lee Child, Dick Hill, 17 hrs and 47 mins, 10-27-15, English,4.5 out of 5 stars,"20,815 ratings",$21.44
The Fortune Seller, Rachel Kapelke-Dale, Stephanie Cannon, 10 hrs and 56 mins, 02-13-24, English,,Not rated yet,$25.51
Empire of the Damned," Jay Kristoff, Bon Orthwick - illustrator"," Damian Lynch, Shakira Shute", 22 hrs, 03-12-24, English,,Not rated yet,$42.52
"Harry Potter and the Deathly Hallows, Book 7", J.K. Rowling, Jim Dale, 21 hrs and 36 mins, 11-20-15, English,5 out of 5 stars,"142,631 ratings",$44.99
A Court of Wings and Ruin, Sarah J. Maas, Amanda Leigh Cobb, 25 hrs and 9 mins, 05-02-17, English,5 out of 5 stars,"26,740 ratings",$28.76
The Hobbit, J. R. R. Tolkien, Rob Inglis, 11 hrs and 5 mins, 10-09-12, English,5 out of 5 stars,"64,600 ratings",$21.49
Ready Player Two, Ernest Cline, Wil Wheaton, 13 hrs and 46 mins, 11-24-20, English,4.5 out of 5 stars,"62,316 ratings",$20.41
The Primal Hunter 2, Zogarth, Travis Baldree, 19 hrs and 25 mins, 06-14-22, English,5 out of 5 stars,"6,080 ratings",$21.99
The Fellowship of the Ring, J. R. R. Tolkien, Rob Inglis, 19 hrs and 7 mins, 10-09-12, English,5 out of 5 stars,"64,285 ratings",$25.79
Red Rising, Pierce Brown, Tim Gerard Reynolds, 16 hrs and 12 mins, 01-28-14, English,4.5 out of 5 stars,"62,605 ratings",$25.79
Demon Copperhead, Barbara Kingsolver, Charlie Thurston, 21 hrs and 3 mins, 10-18-22, English,5 out of 5 stars,"20,943 ratings",$36.65
I'm Not the Hero: An Isekai LitRPG, SourpatchHero, Nick Podehl, 17 hrs and 34 mins, 12-19-23, English,4.5 out of 5 stars,548 ratings,$49.90
Entangled, Rebecca Quinn," Avery Caris, Rose Dioro, Joe Arden, Sebastian York, Teddy Hamilton, JF Harding, Jason Clarke, ZacharyWebber & full cast", 21 hrs and 45 mins, 12-22-23, English,5 out of 5 stars,356 ratings,$29.95
"Story of the World, Vol. 1", Susan Wise Bauer, Jim Weiss, 8 hrs and 4 mins, 01-31-24, English,,Not rated yet,$19.95
Wear It Like a Crown, Zarah Detand, Joel Leslie, 14 hrs and 54 mins, 02-13-24, English,5 out of 5 stars,1 rating,$44.99
A Kingdom of Flesh and Fire, Jennifer L. Armentrout, Stina Nielsen, 24 hrs and 21 mins, 11-03-20, English,5 out of 5 stars,"13,448 ratings",$28.99
Iron Flame, Rebecca Yarros," Rebecca Soler, Teddy Hamilton", 28 hrs and 16 mins, 11-07-23, English,4.5 out of 5 stars,"13,653 ratings",$30.09
Get Married, Brad Wilcox, Mark Deakins, 9 hrs and 15 mins, 02-13-24, English,,Not rated yet,$25.47
The Edge, David Baldacci," Zachary Webber, Erin Cottrell, Will Collyer, Erin Bennett, Tiffany Smith", 11 hrs and 45 mins, 11-14-23, English,4.5 out of 5 stars,"1,588 ratings",$21.83
Another Girl, Peter Grainger, Gildart Jackson, 8 hrs and 38 mins, 01-23-24, English,5 out of 5 stars,252 ratings,$17.49
The Nightingale, Kristin Hannah, Polly Stone, 17 hrs and 19 mins, 02-03-15, English,5 out of 5 stars,"92,837 ratings",$24.74
The Primal Hunter 7 - A LitRPG Adventure, Zogarth, Travis Baldree, 17 hrs and 49 mins, 11-21-23, English,5 out of 5 stars,"2,624 ratings",$24.95
Staying Sober Without God, Jeffrey Munn, Jeffrey Munn, 4 hrs and 45 mins, 02-06-24, English,,Not rated yet,$14.95
Freaky Wedding, Amanda M. Lee, Caitlin Kelly, 8 hrs and 15 mins, 01-30-24, English,5 out of 5 stars,27 ratings,$19.95
Royal Valentine, Sariah Wilson, Jesse Vilinsky, 2 hrs and 1 min, 01-23-24, English,4 out of 5 stars,229 ratings,$1.99
"Harry Potter and the Chamber of Secrets, Book 2", J.K. Rowling, Jim Dale, 9 hrs and 2 mins, 11-20-15, English,5 out of 5 stars,"132,703 ratings",$29.99
"Harry Potter and the Goblet of Fire, Book 4", J.K. Rowling, Jim Dale, 20 hrs and 36 mins, 11-20-15, English,5 out of 5 stars,"117,501 ratings",$44.99
"Harry Potter and the Prisoner of Azkaban, Book 3", J.K. Rowling, Jim Dale, 11 hrs and 49 mins, 11-20-15, English,5 out of 5 stars,"122,447 ratings",$29.99
Possessive Heart, Brighton Walsh," J.F. Harding, Stella Hunter", 7 hrs and 7 mins, 02-01-24, English,4.5 out of 5 stars,39 ratings,$19.95
Kingdom of Ash, Sarah J. Maas, Elizabeth Evans, 33 hrs and 11 mins, 10-23-18, English,5 out of 5 stars,"19,358 ratings",$34.99
The Fires of Heaven, Robert Jordan," Kate Reading, Michael Kramer", 36 hrs and 27 mins, 12-26-04, English,5 out of 5 stars,"28,677 ratings",$37.49
The Crown of Gilded Bones, Jennifer L. Armentrout, Stina Nielsen, 25 hrs and 22 mins, 04-20-21, English,4.5 out of 5 stars,"11,563 ratings",$28.99
The Hurtwood Village Murders, Benedict Brown, George Blagden, 8 hrs and 28 mins, 02-22-24, English,,Not rated yet,$48.99
Come As You Are: Revised and Updated, Emily Nagoski PhD," Emily Nagoski, Nicholas Boulton", 11 hrs and 30 mins, 03-02-21, English,5 out of 5 stars,"2,910 ratings",$15.70
How to Use Outsourcing to Grow Your Small Business: Scale!, Franklyn White, Mark Williams, 3 hrs and 40 mins, 02-07-24, English,5 out of 5 stars,9 ratings,$14.95
Echoes of War, David North," John Pirhalla, Stephanie Nemeth-Parker", 20 hrs and 20 mins, 01-31-24, English,5 out of 5 stars,27 ratings,$29.95
The Cure," John Lynch, Bruce McNicol, Bill Thrall", Chris Arias, 3 hrs and 2 mins, 02-08-24, English,4 out of 5 stars,1 rating,$14.95
The Eye of the Bedlam Bride, Matt Dinniman," Jeff Hays, Patrick Warburton, Travis Baldree, Annie Ellicott", 26 hrs and 46 mins, 09-01-23, English,5 out of 5 stars,"3,770 ratings",$25.99
Inheritance, Christopher Paolini, Gerard Doyle, 31 hrs and 17 mins, 11-08-11, English,4.5 out of 5 stars,"19,303 ratings",$29.34
Sword Art Online 12," Reki Kawahara, Stephen Paul", Bryce Papenbrook, 7 hrs and 54 mins, 02-13-24, English,,Not rated yet,$20.01
The Algebra of Wealth, Scott Galloway, Scott Galloway, 10 hrs, 04-23-24, English,,Not rated yet,$31.50
Love Life, Matthew Hussey,, 12 hrs, 04-23-24, English,,Not rated yet,$31.93
Empath and Narcissist: 2 in 1, Sara Sterling," Dale Chapman,  Sean Lester, Barbara Fernandez,  Social Skills Studio, Codependency Recovery Studio", 26 hrs and 28 mins, 01-29-24, English,5 out of 5 stars,21 ratings,$29.95
"Harry Potter and the Order of the Phoenix, Book 5", J.K. Rowling, Jim Dale, 26 hrs and 28 mins, 11-20-15, English,5 out of 5 stars,"109,358 ratings",$44.99
Dance Butterfly Dance, Reese Rivers," Maeve York, Christian Black, Vincent Skye, Matt Haynes", 9 hrs and 6 mins, 01-22-24, English,5 out of 5 stars,25 ratings,$19.95
The Running Grave, Robert Galbraith, Robert Glenister, 34 hrs and 14 mins, 09-26-23, English,5 out of 5 stars,"3,852 ratings",$38.99
Cowboy Seeking Nanny, Janice Whiteaker," Sebastian York, Ava Lucas", 6 hrs and 45 mins, 02-05-24, English,5 out of 5 stars,2 ratings,$19.95
The Empowered Highly Sensitive Collection, Jordan T. Beckett, Jordan T. Beckett, 4 hrs and 12 mins, 02-08-24, English,5 out of 5 stars,13 ratings,$14.95
The Next Mrs. Parrish, Liv Constantine,, 12 hrs, 06-18-24, English,,Not rated yet,$31.50
Layla, Colleen Hoover, Brian Pallino, 8 hrs and 10 mins, 12-08-20, English,4.5 out of 5 stars,"11,289 ratings",$21.99
The Bystander, Rob M. Lastrel, Adam Sims, 11 hrs and 41 mins, 02-13-24, English,,Not rated yet,$44.99
Plan Your Year Like a Millionaire, Rachel Rodgers, Rachel Rodgers, 2 hrs, 01-02-24, English,4.5 out of 5 stars,740 ratings,$14.95
Condottiere, Griff Hosker, Marston York, 8 hrs and 41 mins, 02-08-24, English,5 out of 5 stars,2 ratings,$17.92
Children of Time, Adrian Tchaikovsky, Mel Hudson, 16 hrs and 31 mins, 05-02-17, English,4.5 out of 5 stars,"37,340 ratings",$21.81
The Complete Sinful Men Collection, Lauren Blakely," Andi Arndt, Joe Arden, Emma Wilder, Teddy Hamilton, Ava Erickson, Zachary Webber, Vanessa Edwin, Sebastian York, Samantha Cook, Scott Brick", 36 hrs and 38 mins, 11-01-23, English,5 out of 5 stars,84 ratings,$29.95
"Story of the World, Vol. 2", Susan Wise Bauer, Jim Weiss, 10 hrs and 42 mins, 01-31-24, English,,Not rated yet,$24.95
The Return of the King, J. R. R. Tolkien, Andy Serkis, 21 hrs and 52 mins, 09-16-21, English,5 out of 5 stars,"5,014 ratings",$25.79
Grilled Armageddon, Dakota Krout, MacLeod Andrews, 13 hrs and 45 mins, 01-09-24, English,5 out of 5 stars,605 ratings,$33.90
The Word for World Is Forest, Ursula K. Le Guin, John Skelley, 4 hrs and 44 mins, 02-27-24, English,,Not rated yet,$20.99
Aurora Chronicles: Omnibus Edition, Micky Carre, Erin Bateman, 17 hrs and 30 mins, 02-09-24, English,5 out of 5 stars,2 ratings,$54.99
Iron Gold, Pierce Brown," Tim Gerard Reynolds, John Curless, Julian Elfer, Aedin Moloney", 23 hrs and 23 mins, 01-16-18, English,4.5 out of 5 stars,"19,981 ratings",$25.79
Legionnaire Eternal, Doc Spears, Stephen Dexter, 12 hrs and 30 mins, 01-16-24, English,5 out of 5 stars,54 ratings,$24.95
The Final Empire, Brandon Sanderson, Michael Kramer, 24 hrs and 39 mins, 12-28-08, English,5 out of 5 stars,"86,669 ratings",$33.74
Abyssal Rift, Krazekode, Peter Kenny, 14 hrs and 6 mins, 01-23-24, English,5 out of 5 stars,74 ratings,$24.95
The Scream Sisters, J.R. Erickson, Angie Tripp, 10 hrs and 1 min, 02-09-24, English,5 out of 5 stars,1 rating,$24.95
The Lion: Son of the Forest, Mike Brooks, Timothy Watson, 12 hrs and 15 mins, 04-22-23, English,5 out of 5 stars,"1,746 ratings",$32.71
The Women, Kristin Hannah," Julia Whelan, Kristin Hannah", 14 hrs and 57 mins, 02-06-24, English,5 out of 5 stars,972 ratings,$25.40
House of Flame and Shadow, Sarah J. Maas, Elizabeth Evans, 29 hrs and 42 mins, 01-30-24, English,5 out of 5 stars,"4,846 ratings",$49.95
A People's History of the United States, Howard Zinn, Jeff Zinn, 34 hrs and 8 mins, 12-14-09, English,4.5 out of 5 stars,"8,868 ratings",$36.74
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10, Tess Lake, Natalie Duke, 65 hrs and 31 mins, 04-27-22, English,5 out of 5 stars,"3,248 ratings",$29.95
The Rising of the Shield Hero: Volume 08, Aneko Yusagi, Matthew Bridges, 8 hrs and 1 min, 02-13-24, English,5 out of 5 stars,2 ratings,$17.50
The Psychology of Money, Morgan Housel, Chris Hill, 5 hrs and 48 mins, 09-08-20, English,5 out of 5 stars,"19,232 ratings",$17.99
The Primal Hunter 5, Zogarth, Travis Baldree, 17 hrs and 47 mins, 05-17-23, English,5 out of 5 stars,"2,365 ratings",$21.99
Deserving Lara, Susan Stoker," Emma Wilder, Aaron Shedlock", 9 hrs and 12 mins, 01-30-24, English,5 out of 5 stars,68 ratings,$19.95
Nothing Left, Scott Blade, Alan Philip Ormond, 7 hrs and 20 mins, 01-31-24, English,4.5 out of 5 stars,20 ratings,$19.95
Open, Nate Klemp, Nate Klemp, 8 hrs and 5 mins, 02-13-24, English,5 out of 5 stars,1 rating,$14.69
The Plinko Bounce, Martin Clark," David Aaron Baker, Morgan Hallett", 10 hrs and 9 mins, 09-12-23, English,4 out of 5 stars,145 ratings,$21.49
Your Big Leap Year, Gay Hendricks PhD, Alan Peterson, 10 hrs and 16 mins, 02-13-24, English,,Not rated yet,$20.78
A Dance with Dragons, George R.R. Martin, Roy Dotrice, 48 hrs and 55 mins, 07-12-11, English,4.5 out of 5 stars,"58,419 ratings",$31.49
Spare, Prince Harry The Duke of Sussex, Prince Harry The Duke of Sussex, 15 hrs and 39 mins, 01-10-23, English,5 out of 5 stars,"67,346 ratings",$26.20
Brisingr, Christopher Paolini, Gerard Doyle, 29 hrs and 34 mins, 09-20-08, English,4.5 out of 5 stars,"18,717 ratings",$31.50
Elon Musk, Walter Isaacson," Jeremy Bobb, Walter Isaacson", 20 hrs and 39 mins, 09-12-23, English,5 out of 5 stars,"5,800 ratings",$26.24
Motivation (963Hz)," Audible Sleep, Audio up", Scarlett Burke, 21 mins,, English,5 out of 5 stars,5 ratings,$6.95
Of Dust and Stars, Jenna Wolfhart," Tim Campbell, Billie Fulford-Brown", 10 hrs and 53 mins, 02-13-24, English,5 out of 5 stars,1 rating,$44.99
The Gate of the Feral Gods, Matt Dinniman, Jeff Hays, 18 hrs and 3 mins, 09-16-21, English,5 out of 5 stars,"10,133 ratings",$21.99
Dragonfly in Amber, Diana Gabaldon, Davina Porter, 38 hrs and 54 mins, 10-26-06, English,5 out of 5 stars,"45,549 ratings",$30.09
The Teacher, Freida McFadden," Leslie Howard, Danny Montooth", 9 hrs and 35 mins, 02-06-24, English,4.5 out of 5 stars,646 ratings,$48.99
The Way of Kings, Brandon Sanderson," Kate Reading, Michael Kramer", 45 hrs and 30 mins, 08-31-10, English,5 out of 5 stars,"100,582 ratings",$28.34
Light Bringer, Pierce Brown, Tim Gerard Reynolds, 30 hrs and 8 mins, 07-25-23, English,5 out of 5 stars,"3,365 ratings",$30.09
